selected_image,player_id,time_stamp,trial_id
f9,1,49,1
f6,2,21,2
f15,1,49,3
f14,2,14,4
f13,1,16,5
f16,2,22,6
f11,1,32,7
f8,2,33,8
f3,1,18,9
f10,2,22,10
f5,1,42,11
f4,2,25,12
f7,1,13,13
f2,2,15,14
f1,1,12,15
f12,2,31,16
f14,1,13,17
f9,2,15,18
f16,1,121,19
f3,2,14,20
f10,1,12,21
f11,2,15,22
f12,1,13,23
f7,2,17,24
f6,1,7,25
f13,2,9,26
f2,1,13,27
f15,2,20,28
f8,1,14,29
f1,2,9,30
f4,1,27,31
f5,2,29,32
f9,1,19,33
f10,2,9,34
f15,1,13,35
f12,2,8,36
f1,1,6,37
f4,2,6,38
f7,1,19,39
f16,2,6,40
f13,1,7,41
f2,2,5,42
f11,1,7,43
f6,2,4,44
f5,1,6,45
f8,2,18,46
f3,1,21,47
f14,2,23,48
f10,1,8,49
f15,2,10,50
f6,1,5,51
f1,2,4,52
f16,1,6,53
f13,2,4,54
f12,1,6,55
f7,2,16,56
f2,1,7,57
f9,2,11,58
f14,1,9,59
f5,2,9,60
f8,1,6,61
f11,2,10,62
f4,1,10,63
f3,2,11,64
f7,1,8,65
f6,2,6,66
f11,1,8,67
f10,2,7,68
f9,1,28,69
f4,2,4,70
f13,1,3,71
f12,2,8,72
f1,1,7,73
f8,2,3,74
f15,1,7,75
f14,2,6,76
f5,1,6,77
f16,2,5,78
f3,1,7,79
f2,2,5,80
f10,1,10,81
f11,2,3,82
f8,1,6,83
f7,2,6,84
f4,1,13,85
f3,2,6,86
f14,1,6,87
f13,2,5,88
f2,1,7,89
f9,2,10,90
f6,1,9,91
f1,2,6,92
f16,1,4,93
f5,2,6,94
f12,1,8,95
f15,2,2,96
f9,3,78,97
f6,4,28,98
f15,3,24,99
f14,4,22,100
f13,3,15,101
f16,4,18,102
f11,3,18,103
f8,4,46,104
f3,3,11,105
f10,4,22,106
f5,3,45,107
f4,4,27,108
f7,3,9,109
f2,4,22,110
f1,3,14,111
f12,4,23,112
f14,3,15,113
f9,4,20,114
f16,3,16,115
f3,4,16,116
f10,3,12,117
f11,4,18,118
f12,3,10,119
f7,4,10,120
f6,3,17,121
f13,4,10,122
f2,3,13,123
f15,4,25,124
f8,3,20,125
f1,4,9,126
f4,3,11,127
f5,4,16,128
f9,3,18,129
f10,4,14,130
f15,3,10,131
f12,4,14,132
f1,3,10,133
f4,4,8,134
f7,3,7,135
f16,4,12,136
f13,3,7,137
f2,4,7,138
f11,3,12,139
f6,4,13,140
f5,3,10,141
f8,4,15,142
f3,3,8,143
f14,4,10,144
f10,3,13,145
f15,4,14,146
f6,3,16,147
f1,4,7,148
f16,3,13,149
unk,4,7,150
f12,3,10,151
f7,4,13,152
f2,3,6,153
f9,4,14,154
f14,3,7,155
f5,4,11,156
f8,3,9,157
f11,4,10,158
f4,3,11,159
f3,4,8,160
f7,3,9,161
f6,4,11,162
f11,3,11,163
f10,4,12,164
f9,3,29,165
f4,4,9,166
f13,3,6,167
f12,4,6,168
f1,3,14,169
f8,4,27,170
f15,3,9,171
f14,4,7,172
f5,3,9,173
f16,4,8,174
f3,3,9,175
f2,4,12,176
f10,3,10,177
f11,4,10,178
f8,3,11,179
f7,4,6,180
f4,3,9,181
f3,4,12,182
f14,3,8,183
f13,4,6,184
f2,3,7,185
f9,4,9,186
f6,3,9,187
f1,4,6,188
f16,3,7,189
f5,4,8,190
f12,3,7,191
f15,4,12,192
f9,5,144,193
f6,6,42,194
f15,5,25,195
f14,6,17,196
f13,5,25,197
f16,6,88,198
f11,5,28,199
f8,6,52,200
f3,5,25,201
f10,6,29,202
f5,5,35,203
f4,6,25,204
