text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
The one that looks like someone lifting their leg behind them,1,describer,1,FALSE,NA,1
The one that looks like a person kneeling and praying,1,describer,1,FALSE,NA,2
The one that is a bean shape under the diamond head,1,describer,1,FALSE,NA,3
The one that looks like a square body with a jagged right edge,1,describer,1,FALSE,NA,4
The one that looks like a person sitting and looking down.,2,describer,1,FALSE,NA,5
The one that looks like a person kneeling and praying.,2,describer,1,FALSE,NA,6
The slightly square one with a jagged right edge.,2,describer,1,FALSE,NA,7
The one that looks like a person throwing a kick behind them.,2,describer,1,FALSE,NA,8
the one with the square body with a jagged right edge,1,describer,1,FALSE,NA,9
the one kneeling and praying,1,describer,1,FALSE,NA,10
the one lifting a leg behind them,1,describer,1,FALSE,NA,11
the one sitting and looking down,1,describer,1,FALSE,NA,12
The one kneeling and praying.,2,describer,1,FALSE,NA,13
The one with a raised leg.,2,describer,1,FALSE,NA,14
The one sitting and looking down.,2,describer,1,FALSE,NA,15
The square one with a jagged right edge.,2,describer,1,FALSE,NA,16
"Hello, whatcha got for a description?",3,matcher,1,FALSE,NA,17
A person kneeling and praying,4,describer,2,FALSE,NA,17
"got it, i see it",3,matcher,3,FALSE,NA,17
alright round 2,3,matcher,1,FALSE,NA,18
A person sitting with their arms to their sides,4,describer,2,FALSE,NA,18
yup i see it,3,matcher,3,FALSE,NA,18
got the dude pointing and the dude doing a karate kick,3,matcher,1,FALSE,NA,19
A person pointing to the right,4,describer,2,FALSE,NA,19
aiiiiiight we're doing good,3,matcher,1,FALSE,NA,20
a person kicking their leg out,4,describer,2,FALSE,NA,20
alright bingo -- so this one is a guy on his knees praying,3,describer,1,FALSE,NA,21
now ive got a dude sitting with arms to the side,3,describer,1,FALSE,NA,22
now ive got a guy doing a kick,3,describer,1,FALSE,NA,23
now ive got a dude standing pointing to the right,3,describer,1,FALSE,NA,24
praying,4,describer,1,FALSE,NA,25
sitting with arms at sides,4,describer,1,FALSE,NA,26
kicking,4,describer,1,FALSE,NA,27
pointing,4,describer,1,FALSE,NA,28
kicking dude,3,describer,1,FALSE,NA,29
praying dude,3,describer,1,FALSE,NA,30
sitting dude,3,describer,1,FALSE,NA,31
pointing guy,3,describer,1,FALSE,NA,32
The one that looks like a person kneeing and praying.,2,describer,1,FALSE,NA,33
The one that looks like a person sitting and looking down.,2,describer,1,FALSE,NA,34
The slightly square one with a jagged right edge.,2,describer,1,FALSE,NA,35
The one that looks like a person raising their leg.,2,describer,1,FALSE,NA,36
sitting and looking down,4,describer,1,FALSE,NA,37
praying,4,describer,1,FALSE,NA,38
kicking leg,4,describer,1,FALSE,NA,39
jagged edge,4,describer,1,FALSE,NA,40
kicking leg,2,describer,1,FALSE,NA,41
praying,2,describer,1,FALSE,NA,42
sitting and looking down,2,describer,1,FALSE,NA,43
jagged right edge,2,describer,1,FALSE,NA,44
sitting,4,describer,1,FALSE,NA,45
praying,4,describer,1,FALSE,NA,46
jagged edge,4,describer,1,FALSE,NA,47
kicking,4,describer,1,FALSE,NA,48
ive got a guy standing and pointing to the right but he's not kicking or kneeling,3,describer,1,FALSE,NA,49
"now ive got a dude sitting with his arms to the side, NOT praying",3,describer,1,FALSE,NA,50
now ive got a guy doing a karate kick move,3,describer,1,FALSE,NA,51
now ive got a dude praying,3,describer,1,FALSE,NA,52
"nice, whatcha see?",3,matcher,1,FALSE,NA,53
the one lifting a leg behind them,1,describer,2,FALSE,NA,53
kneeling and praying,1,describer,1,FALSE,NA,54
doing well. whatcha got?,3,matcher,1,FALSE,NA,55
the one pointing to the right with a square shaped body,1,describer,2,FALSE,NA,55
dude sitting with arms to the side?,3,matcher,1,FALSE,NA,56
