room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,condition_id,describer,matchers,trial_id,game_id
1,A;B;C;D;E;F;G;H;I;J;K;L,E,1,1,1,FALSE,NA,1,1,2,1,1
1,A;B;C;D;E;F;G;H;I;J;K;L,B,1,2,1,FALSE,NA,1,1,2,2,1
1,A;B;C;D;E;F;G;H;I;J;K;L,F,1,3,1,FALSE,NA,1,1,2,3,1
1,A;B;C;D;E;F;G;H;I;J;K;L,I,1,4,1,FALSE,NA,1,1,2,4,1
1,A;B;C;D;E;F;G;H;I;J;K;L,D,1,5,1,FALSE,NA,1,1,2,5,1
1,A;B;C;D;E;F;G;H;I;J;K;L,H,1,6,1,FALSE,NA,1,1,2,6,1
1,A;B;C;D;E;F;G;H;I;J;K;L,J,1,7,1,FALSE,NA,1,1,2,7,1
1,A;B;C;D;E;F;G;H;I;J;K;L,K,1,8,1,FALSE,NA,1,1,2,8,1
1,A;B;C;D;E;F;G;H;I;J;K;L,L,1,9,1,FALSE,NA,1,1,2,9,1
1,A;B;C;D;E;F;G;H;I;J;K;L,A,1,10,1,FALSE,NA,1,1,2,10,1
1,A;B;C;D;E;F;G;H;I;J;K;L,C,1,11,1,FALSE,NA,1,1,2,11,1
1,A;B;C;D;E;F;G;H;I;J;K;L,G,1,12,1,FALSE,NA,1,1,2,12,1
1,A;B;C;D;E;F;G;H;I;J;K;L,B,1,13,2,FALSE,NA,1,1,2,13,1
1,A;B;C;D;E;F;G;H;I;J;K;L,E,1,14,2,FALSE,NA,1,1,2,14,1
1,A;B;C;D;E;F;G;H;I;J;K;L,D,1,15,2,FALSE,NA,1,1,2,15,1
1,A;B;C;D;E;F;G;H;I;J;K;L,K,1,16,2,FALSE,NA,1,1,2,16,1
1,A;B;C;D;E;F;G;H;I;J;K;L,J,1,17,2,FALSE,NA,1,1,2,17,1
1,A;B;C;D;E;F;G;H;I;J;K;L,C,1,18,2,FALSE,NA,1,1,2,18,1
1,A;B;C;D;E;F;G;H;I;J;K;L,G,1,19,2,FALSE,NA,1,1,2,19,1
1,A;B;C;D;E;F;G;H;I;J;K;L,F,1,20,2,FALSE,NA,1,1,2,20,1
1,A;B;C;D;E;F;G;H;I;J;K;L,H,1,21,2,FALSE,NA,1,1,2,21,1
1,A;B;C;D;E;F;G;H;I;J;K;L,A,1,22,2,FALSE,NA,1,1,2,22,1
1,A;B;C;D;E;F;G;H;I;J;K;L,L,1,23,2,FALSE,NA,1,1,2,23,1
1,A;B;C;D;E;F;G;H;I;J;K;L,I,1,24,2,FALSE,NA,1,1,2,24,1
1,A;B;C;D;E;F;G;H;I;J;K;L,H,1,25,3,FALSE,NA,1,1,2,25,1
1,A;B;C;D;E;F;G;H;I;J;K;L,L,1,26,3,FALSE,NA,1,1,2,26,1
1,A;B;C;D;E;F;G;H;I;J;K;L,G,1,27,3,FALSE,NA,1,1,2,27,1
1,A;B;C;D;E;F;G;H;I;J;K;L,E,1,28,3,FALSE,NA,1,1,2,28,1
1,A;B;C;D;E;F;G;H;I;J;K;L,A,1,29,3,FALSE,NA,1,1,2,29,1
1,A;B;C;D;E;F;G;H;I;J;K;L,D,1,30,3,FALSE,NA,1,1,2,30,1
